2	0	0	0	0	1	3
2	0	0	0	0	0	2
0	0	0	0	0	1	1
0	0	0	1	0	0	1
2	0	0	0	1	0	3
3	1	1	2	0	0	7
4	0	2	1	0	0	7
2	2	2	1	0	1	8
2	1	0	0	1	0	4
3	3	1	1	0	2	10
4	1	4	2	0	1	12
4	2	3	3	1	0	13
2	2	3	2	0	0	9
1	3	3	0	1	0	8
3	2	5	2	2	1	15
6	3	6	2	0	2	19
1	2	2	1	1	0	7
5	1	0	1	0	1	8
3	3	3	1	0	0	10
3	3	5	2	2	1	16
5	3	2	1	2	2	15
2	2	1	1	1	0	7
3	2	2	1	1	1	10
3	3	7	3	1	1	18
3	2	4	1	0	0	10
2	2	2	1	1	0	8
4	0	2	0	0	0	6
2	2	3	2	0	0	9
3	3	1	1	2	0	10
1	2	2	1	0	0	6
1	1	1	1	0	0	4
0	2	1	1	0	0	4
2	3	3	2	1	1	12
0	0	1	1	0	0	2
0	1	0	0	0	0	1
0	0	1	0	0	0	1
0	0	1	0	0	0	1
1	1	1	0	0	0	3
0	1	0	0	0	0	1
84	59	75	39	18	16	291
